id,from_country,to_country,visa_required,type,processing_days,requirements,documents_needed
1,USA,Pakistan,Yes,Tourist Visa,7-10,"Valid passport, application form, photos, invitation letter","Passport, photos, application form, bank statement"
2,UK,Pakistan,Yes,Tourist Visa,7-10,"Valid passport, application form, photos, accommodation proof","Passport, photos, application form, hotel booking"
3,Canada,Pakistan,Yes,Tourist Visa,7-10,"Valid passport, application form, photos, financial proof","Passport, photos, application form, bank statement"
4,Australia,Pakistan,Yes,Tourist Visa,7-10,"Valid passport, application form, photos, return ticket","Passport, photos, application form, return ticket"
5,Germany,Pakistan,Yes,Tourist Visa,7-10,"Valid passport, application form, photos, travel insurance","Passport, photos, application form, travel insurance"
6,France,Pakistan,Yes,Tourist Visa,7-10,"Valid passport, application form, photos, hotel booking","Passport, photos, application form, hotel booking"
7,China,Pakistan,No,Visa Free,0,"Valid passport, 30 days stay allowed","Valid passport only"
8,Turkey,Pakistan,Yes,Tourist Visa,5-7,"Valid passport, application form, photos, accommodation","Passport, photos, application form"
9,UAE,Pakistan,No,Visa Free,0,"Valid passport, 30 days for tourism","Valid passport only"
10,Saudi Arabia,Pakistan,No,Visa Free,0,"Valid passport, religious visa for Hajj/Umrah","Valid passport, religious documentation"
11,India,Pakistan,Yes,Special Visa,15-30,"Valid passport, special application, extensive documentation","Passport, NOC, police clearance, detailed itinerary"
12,Bangladesh,Pakistan,Yes,Tourist Visa,7-10,"Valid passport, application form, photos, invitation","Passport, photos, application form, invitation letter"
13,Malaysia,Pakistan,No,Visa Free,0,"Valid passport, 30 days tourism allowed","Valid passport only"
14,Indonesia,Pakistan,No,Visa Free,0,"Valid passport, 30 days visa free entry","Valid passport only"
15,Thailand,Pakistan,Yes,Tourist Visa,5-7,"Valid passport, application form, photos, financial proof","Passport, photos, application form, bank statement"
16,Sri Lanka,Pakistan,Yes,ETA,1-2,"Valid passport, online application, small fee","Passport, online ETA application"
17,Nepal,Pakistan,No,Visa Free,0,"Valid passport, SAARC agreement benefits","Valid passport only"
18,Iran,Pakistan,Yes,Tourist Visa,5-7,"Valid passport, application form, travel agency booking","Passport, application form, tour booking"
19,Afghanistan,Pakistan,Yes,Special Visa,10-15,"Valid passport, extensive documentation, security clearance","Passport, NOC, security clearance, sponsor letter"
20,Japan,Pakistan,Yes,Tourist Visa,5-7,"Valid passport, application form, financial proof, itinerary","Passport, photos, application form, bank statement, itinerary"
21,South Korea,Pakistan,Yes,Tourist Visa,5-7,"Valid passport, application form, photos, accommodation proof","Passport, photos, application form, hotel booking"
22,Singapore,Pakistan,Yes,Tourist Visa,3-5,"Valid passport, online application, financial documents","Passport, online application, bank statement"
23,Qatar,Pakistan,No,Visa Free,0,"Valid passport, 30 days free entry for tourism","Valid passport only"
24,Kuwait,Pakistan,Yes,Tourist Visa,3-5,"Valid passport, application form, sponsor letter","Passport, application form, sponsor letter"
25,Oman,Pakistan,Yes,Tourist Visa,3-5,"Valid passport, online application, hotel booking","Passport, online application, hotel booking"