id,destination_id,month,avg_temp_c,rainfall_mm,humidity,conditions,clothing_recommendation
1,1,January,18,15,65,"Mild and dry","Light jacket, comfortable clothes"
2,1,February,20,10,62,"Pleasant and sunny","Light clothing, minimal layers"
3,1,March,25,8,68,"Warm and dry","Summer clothes, sun protection"
4,1,April,30,5,70,"Hot and humid","Light cotton, stay hydrated"
5,1,May,35,2,75,"Very hot","Minimal clothing, AC recommended"
6,1,June,37,50,80,"Hot with monsoon","Light rain gear, cotton clothes"
7,1,July,35,100,85,"Hot and humid with rain","Umbrella, quick-dry clothing"
8,1,August,34,120,87,"Monsoon season","Rainwear, waterproof shoes"
9,1,September,32,80,82,"Warm with occasional rain","Light layers, rain protection"
10,1,October,28,20,75,"Pleasant and comfortable","Comfortable clothing"
11,1,November,23,5,70,"Cool and dry","Light sweater for evenings"
12,1,December,19,8,68,"Mild winter","Light jacket, layered clothing"
13,2,January,12,25,75,"Cool winter","Warm jacket, winter clothes"
14,2,February,16,30,72,"Mild winter","Medium jacket, comfortable clothes"
15,2,March,21,40,68,"Pleasant spring","Light jacket, comfortable wear"
16,2,April,27,35,65,"Warm spring","Light clothing, sun hat"
17,2,May,33,20,70,"Hot summer","Cotton clothes, sun protection"
18,2,June,37,60,75,"Very hot with pre-monsoon","Light clothes, stay indoors midday"
19,2,July,35,150,82,"Hot with monsoon","Rain gear, light cotton"
20,2,August,34,140,85,"Monsoon season","Umbrella, waterproof gear"
21,2,September,32,80,80,"Post-monsoon warmth","Light layers, occasional rain gear"
22,2,October,26,15,72,"Pleasant autumn","Comfortable day wear"
23,2,November,20,8,70,"Cool and comfortable","Light sweater, jacket for evening"
24,2,December,14,15,73,"Cool winter","Warm clothes, winter jacket"
25,3,January,10,45,70,"Cool winter with rain","Warm jacket, waterproof shoes"
26,3,February,13,55,68,"Mild winter","Medium jacket, layers"
27,3,March,18,80,65,"Pleasant spring with rain","Light jacket, umbrella"
28,3,April,23,70,62,"Comfortable spring","Light clothing, rain jacket"
29,3,May,28,45,65,"Warm late spring","Cotton clothes, light jacket evening"
30,3,June,32,90,70,"Hot pre-monsoon","Light summer clothes, rain gear"
31,3,July,30,200,80,"Monsoon season","Rainwear, waterproof clothing"
32,3,August,29,180,82,"Heavy monsoon","Strong rain gear, indoor activities"
33,3,September,28,120,78,"Post-monsoon","Light layers, rain protection"
34,3,October,23,35,72,"Pleasant autumn","Comfortable wear, light jacket"
35,3,November,17,15,68,"Cool autumn","Warm clothing, jacket"
36,3,December,12,25,70,"Winter weather","Winter clothes, warm layers"
37,4,January,-5,20,60,"Cold winter","Heavy winter gear, thermal wear"
38,4,February,-2,25,58,"Cold with snow possibility","Extreme cold gear, snow boots"
39,4,March,3,30,62,"Cold spring","Heavy jacket, warm clothes"
40,4,April,12,40,65,"Cool spring","Medium jacket, layers"
41,4,May,18,35,68,"Pleasant weather","Light jacket, comfortable wear"
42,4,June,22,25,70,"Perfect weather","Light clothing, sun protection"
43,4,July,25,15,65,"Excellent weather","Summer clothes, light jacket evening"
44,4,August,24,20,67,"Great weather","Light clothing, sweater for night"
45,4,September,20,25,70,"Cool and pleasant","Medium jacket, layers"
46,4,October,12,20,68,"Cool autumn","Warm jacket, winter preparation"
47,4,November,5,15,65,"Cold approaching","Heavy jacket, warm clothes"
48,4,December,-2,18,62,"Winter conditions","Extreme winter gear, heating"
49,5,January,-8,10,55,"Extremely cold","Heavy winter gear, thermal layers"
50,5,February,-5,12,58,"Very cold","Extreme cold protection"
51,5,March,2,15,60,"Cold with melting","Heavy jacket, waterproof shoes"
52,5,April,10,20,65,"Cool spring","Warm jacket, layers"
53,5,May,16,25,68,"Pleasant spring","Medium jacket, comfortable wear"
54,5,June,20,15,70,"Perfect trekking weather","Light jacket, trekking gear"
55,5,July,23,8,65,"Excellent weather","Light clothing, sun protection"
56,5,August,22,10,67,"Great mountain weather","Light layers, jacket for evening"
57,5,September,18,12,70,"Cool and clear","Warm clothing, layers needed"
58,5,October,10,8,68,"Cold but clear","Heavy jacket, winter prep"
59,5,November,2,5,65,"Very cold","Extreme winter gear"
60,5,December,-6,8,60,"Harsh winter","Heavy winter equipment, heating"
61,6,January,8,40,70,"Cool winter","Warm jacket, rain protection"
62,6,February,12,45,68,"Mild winter","Medium jacket, layers"
63,6,March,16,60,72,"Pleasant spring","Light jacket, rain gear"
64,6,April,20,80,75,"Comfortable spring","Light clothing, umbrella"
65,6,May,24,70,78,"Warm spring","Cotton clothes, rain jacket"
66,6,June,27,120,82,"Warm with pre-monsoon","Light summer wear, rain gear"
67,6,July,25,250,85,"Monsoon season","Strong rainwear, indoor planning"
68,6,August,24,280,87,"Heavy monsoon","Waterproof everything, limited outdoor"
69,6,September,23,150,83,"Post-monsoon","Rain gear, comfortable layers"
70,6,October,19,60,78,"Pleasant autumn","Light jacket, rain protection"
71,6,November,14,25,72,"Cool autumn","Warm clothing, jacket"
72,6,December,10,30,70,"Cool winter","Winter clothes, warm layers"
73,7,January,5,35,68,"Cold winter","Heavy winter jacket, warm clothes"
74,7,February,8,40,65,"Cool winter","Warm jacket, layers"
75,7,March,12,60,70,"Cool spring","Medium jacket, rain gear"
76,7,April,16,80,73,"Pleasant spring","Light jacket, umbrella handy"
77,7,May,20,90,75,"Comfortable weather","Light clothing, rain jacket"
78,7,June,23,120,78,"Pleasant summer","Summer clothes, rain protection"
79,7,July,21,200,82,"Monsoon season","Rainwear, warm layers"
80,7,August,20,180,85,"Rainy season","Waterproof clothing, indoor activities"
81,7,September,19,100,80,"Post-monsoon cool","Light jacket, rain gear"
82,7,October,15,40,75,"Cool autumn","Warm clothing, comfortable layers"
83,7,November,10,20,72,"Cold autumn","Heavy jacket, winter prep"
84,7,December,6,25,70,"Winter weather","Winter clothes, heating needed"